,X,X.1,RespondentID,StartDate,EndDate,Age,Ethnic,Sex,MilitaryServiceName,MilitaryRankShortName,CountryName,CurricNumber,CurricShortName,SchoolName,Site,DegreeLevel,Q1,Q2,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q4k,Q4l,Q4m,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q11h,Q11i,Q12a,Q12b,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14a,Q14b,Q14c,Q14d,Q15a,Q15b,Q15c,Q15d,Q15e,Q16,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q19j,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,Q20i,Q20j,Q21,Q22a,Q22b,Q22c,Q23,Q24a,Q24b,Q24c,Q25,Q26,Q27a,Q27b,Q27c,Q27d,Q28a,Q28b,Q28c,Q28d,Q28e,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q32,Q33,Q34,Q35,Q36,Q37,Q38,AgeGroup
767,767,767,3063718333,2/11/14 2:04,2/11/14 2:12,37,White,M,USN,LCDR,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,1,SL,TR,ICR,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,2,2,2,2,0,0,0,0,First,Second,Third,Fourth,First,Second,Third,Fourth,Fifth,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Not Select,Not Select,Not Select,Not Select,2,2,2,2,2,Some,Yes,0,0,0,0,1,-1,1,1,1,Intermediate,3,36-40
768,768,768,3063688613,2/11/14 1:44,2/11/14 1:52,37,White,M,USA,MAJ,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,2,1,SL,SL,SL,Very Little,Somewhat Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Very Little,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,0,0,0,1,0,1,Third,Fourth,First,Second,Third,Fourth,Fifth,Second,First,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Not Select,Selcet,Selcet,Yes,NA,Not Select,Selcet,Selcet,Selcet,1,1,1,0,0,Most,Yes,0,0,0,0,-2,-2,-2,-2,-2,Intermediate,4,36-40
769,769,769,3063670790,2/11/14 1:31,2/11/14 1:40,41,Black/African American,M,USN,CDR,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Not Select,Select,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,1,0,1,LL,TR,TR,Somewhat Well,Very Well,NA,Very Well,NA,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,2,2,2,0,2,0,2,Fourth,Third,Second,First,Third,Fourth,Second,Fifth,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,No,Selcet,Not Select,Not Select,Often,Selcet,Not Select,Not Select,No,NA,Not Select,Selcet,Not Select,Not Select,2,2,2,2,2,Most,Yes,-1,0,-1,-1,-2,0,1,-1,-1,Intermediate,5,41+
770,770,770,3063649994,2/11/14 1:16,2/11/14 1:26,47,White,M,NA,NA,United States of America,474,Information Sciences,Graduate School of Operational and Information Sciences,NPS,PhD,No,Yes,Not Select,Not Select,Not Select,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,2,2,2,T,TR,ICR,NA,NA,NA,NA,NA,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Well,Somewhat Well,Selcet,Not Select,Not Select,Selcet,Selcet,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,1,1,1,0,1,1,1,1,Second,First,Third,Fourth,Second,Fourth,Fifth,First,Third,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,Turnitin,NA,NA,NA,NA,NA,Paper copy,NA,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Not Select,Selcet,-1,-1,-2,-1,-1,All,NA,0,0,0,0,-1,1,1,0,1,Advanced,10+,41+
771,771,771,3063642701,2/11/14 1:12,2/11/14 1:21,114,White,M,USN,LCDR,United States of America,590,Electronic Systems Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,1,1,0,LL,TR,ICR,Very Little,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Very Little,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Very Little,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,1,1,1,1,2,2,1,2,Fourth,Third,First,Second,Second,Fifth,Fourth,Third,First,SE,No,Not Select,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Selcet,Not Select,1,1,1,0,0,Some,Yes,0,1,0,0,-1,1,1,-1,0,Advanced,6,Unknown
772,772,772,3063593869,2/11/14 0:40,2/11/14 0:52,37,White,M,USA,MAJ,United States of America,683,Western Hemisphere,School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,1,2,1,T,TR,ICR,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Little,Very Well,Somewhat Well,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,1,1,1,2,1,2,1,1,Fourth,Third,Second,First,First,Fourth,Second,Fifth,Third,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,SharePoint,NA,NA,Prof Web Site,Drop Box,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Selcet,Not Select,Yes,HE,Selcet,Selcet,Selcet,Selcet,1,1,2,1,-1,Some,Yes,1,-1,1,1,1,-1,1,1,1,Basic,3,36-40
773,773,773,3063589884,2/11/14 0:38,2/11/14 0:52,114,Unknown,M,Navy,LCDR,Taiwan,681,"Middle East, South Asia, Sub-Saharan Africa",School of International Graduate Studies,NPS,Master,No,NA,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,2,0,0,LL,ICR,TR,Very Well,Very Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,1,1,1,1,1,1,Second,Fourth,First,Third,Second,Third,Fourth,Fifth,First,F,Yes,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,NA,Selcet,Selcet,Selcet,Not Select,1,1,1,1,1,Most,Yes,2,-1,1,2,2,1,1,1,1,Basic,1,Unknown
774,774,774,3063588367,2/11/14 0:37,2/11/14 0:37,40,White,M,NA,NA,United States of America,692,Homeland Defense and Security,School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Selcet,Selcet,Selcet,NA,Selcet,Selcet,Selcet,NA,NA,Selcet,Selcet,Selcet,Selcet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36-40
775,775,775,3063577912,2/11/14 0:29,2/11/14 0:45,29,White,F,USMC,Capt,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,No,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,1,0,1,SL,SL,TR,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Little,Not At All,Somewhat Well,Very Well,Very Little,Somewhat Well,Somewhat Well,Very Little,Very Little,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,0,0,1,2,0,2,Fourth,Third,Second,First,Second,Fifth,Fourth,Third,First,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Not Select,Not Select,1,1,0,-2,1,All,Yes,-1,0,-1,1,-1,0,1,0,0,Basic,2,20-30
776,776,776,3063544297,2/11/14 0:09,2/11/14 0:23,29,White,M,USMC,Capt,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Select,Not Select,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,-1,1,-1,T,TR,ICR,Very Little,Very Well,Somewhat Well,Very Well,Not At All,Very Little,Very Little,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Very Little,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Not Select,0,0,0,0,2,2,1,1,Fourth,Second,First,Third,Third,Fifth,Fourth,First,Second,SE,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Not Select,Selcet,Yes,DKL,Not Select,Selcet,Selcet,Selcet,2,2,2,2,2,All,Yes,1,1,1,2,-2,0,0,1,1,Expert,5,20-30
777,777,777,3063538047,2/11/14 0:05,2/11/14 0:15,36,White,M,USN,LT,United States of America,819,Supply Chain Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,2,2,2,SL,TR,TR,Very Well,Very Well,NA,Somewhat Well,NA,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat Well,Very Well,Very Little,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,2,2,2,2,2,2,2,2,Second,Fourth,First,Third,Third,Fifth,Fourth,Second,First,F,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,NA,Selcet,Selcet,Selcet,Not Select,2,2,2,1,1,Some,Yes,0,-1,-1,-1,-2,-1,-1,-1,-2,Intermediate,3,36-40
778,778,778,3063517299,2/10/14 23:53,2/11/14 0:06,34,White,M,USN,LCDR,United States of America,682,"Far East, Southeast Asia, Pacific",School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,1,1,1,T,TR,ICR,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,Very Well,Very Little,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,2,1,2,1,1,1,1,First,Third,Second,Fourth,Second,Fifth,Fourth,First,Third,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,Drop Box,Google Drive,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Not Select,Selcet,1,2,2,2,2,Most,Yes,-2,2,-2,0,-2,-2,1,-2,-1,Intermediate,5,31-35
779,779,779,3063500552,2/10/14 23:44,2/11/14 0:03,29,Unknown,M,Air Force,Capt.,Taiwan,399,"Modeling, Virtual Environments & Simulation",Graduate School of Operational and Information Sciences,NPS,Master,No,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,1,1,2,TR,T,LL,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Well,Somewhat Well,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,2,2,2,1,2,1,2,1,Fourth,Second,First,Third,Second,Fourth,Third,First,Fifth,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,Drop Box,Google Drive,Prof H Drive,Paper Copy,Email,SAKAI,NA,NA,NA,Prof Web Site,Drop Box,Google Drive,Prof H:drive,Paper copy,Yes,Selcet,Selcet,Selcet,Often,Selcet,Not Select,Not Select,Yes,WH,Not Select,Selcet,Selcet,Not Select,1,1,2,1,1,Most,Yes,0,-1,-1,-1,0,-1,0,0,0,Advanced,7,20-30
780,780,780,3063499252,2/10/14 23:42,2/10/14 23:55,32,Hispanic/Latinos,M,USMC,Capt,United States of America,366,Space Systems Operations,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1,0,0,SL,T,T,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Not At All,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,-2,-1,-1,-1,-1,-1,Fourth,Third,First,Second,Third,Fifth,Fourth,Second,First,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Selcet,Selcet,2,2,2,2,2,Most,No,-1,-1,0,-1,-2,-2,-2,-1,0,Intermediate,3,31-35
781,781,781,3063483817,2/10/14 23:34,2/10/14 23:42,33,White,M,USA,MAJ,United States of America,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,1,1,1,T,TR,ICR,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Very Little,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,0,0,-1,NA,NA,NA,NA,NA,Third,Second,First,Fourth,Third,Fourth,Fifth,First,Second,SE,NA,Selcet,Selcet,Selcet,Email,NA,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,No,Selcet,Not Select,Not Select,Often,Selcet,Not Select,Not Select,No,NA,Not Select,Selcet,Not Select,Not Select,1,1,-1,-1,-1,Some,Yes,NA,NA,NA,NA,-2,-1,1,-2,1,Intermediate,3,31-35
782,782,782,3063469185,2/10/14 23:26,2/10/14 23:35,37,White,F,NA,NA,United States of America,694,Security Studies,School of International Graduate Studies,NPS,PhD,Yes,Yes,Not Select,Not Select,Not Select,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,0,0,0,LL,ICR,T,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,NA,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,NA,Somewhat Well,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,0,0,0,0,0,0,0,0,First,Second,Third,Fourth,Second,Third,Fourth,First,Fifth,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,NA,Not Select,Selcet,Not Select,Selcet,1,-1,0,-1,-1,Most,No,0,0,0,0,-2,-2,1,1,-1,Intermediate,3,36-40
783,783,783,3063465765,2/10/14 23:24,2/10/14 23:32,36,White,M,USN,LT,United States of America,691,Homeland Security and Defense,School of International Graduate Studies,NPS,Master,Yes,No,Select,Not Select,Select,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,0,1,-1,SL,T,TR,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Not At All,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Not At All,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,1,-1,0,0,0,0,0,0,NA,First,Third,Second,Fifth,Fourth,Third,Second,First,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,Tunitin,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Often,Selcet,Not Select,Selcet,Yes,NA,Not Select,Selcet,Selcet,Not Select,1,1,-1,-1,-1,Most,Yes,-1,1,-1,1,-2,-1,0,-1,0,Advanced,6,36-40
784,784,784,3063460909,2/10/14 23:17,2/10/14 23:30,29,Asian American/Pacific Islander,F,USMC,Capt,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,No,No,Select,Select,Select,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,2,2,SL,TR,TR,Very Little,Not At All,Somewhat Well,Somewhat Well,NA,Not At All,Very Little,Somewhat Well,Not At All,Somewhat Well,Very Little,Somewhat Well,Very Well,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,-2,-2,1,2,2,2,2,1,NA,Second,Third,First,Fourth,Second,First,Third,Fifth,E,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,Prof H Drive,Paper Copy,NA,NA,NA,NA,NA,NA,Drop Box,Google Drive,NA,NA,No,Not Select,Not Select,Not Select,Often,Not Select,Not Select,Not Select,Yes,KH,Selcet,Selcet,Selcet,Selcet,1,1,-1,-2,2,Most,Yes,2,-2,2,2,-1,2,1,2,2,Intermediate,7,20-30
785,785,785,3063456089,2/10/14 23:18,2/10/14 23:33,64,White,M,NA,NA,United States of America,399,"Modeling, Virtual Environments & Simulation",Graduate School of Operational and Information Sciences,NPS,PhD,Yes,Yes,Not Select,Not Select,Not Select,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,1,1,0,SL,ICR,ICR,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,1,1,1,2,1,1,1,0,NA,Second,First,Third,Second,Third,First,Fifth,Fourth,SE,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H Drive,Paper Copy,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,Prof H:drive,Paper copy,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,Yes,WH,Selcet,Selcet,Selcet,Not Select,1,0,-1,0,1,Seldom,No,0,1,-1,-1,-1,1,1,-1,1,Expert,10+,41+
786,786,786,3063427660,2/10/14 23:03,2/10/14 23:25,39,Hispanic/Latinos,M,USA,MAJ,United States of America,683,Western Hemisphere,School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,2,0,2,LL,SL,TR,Somewhat Well,Very Little,Somewhat Well,Very Well,Very Little,Not At All,Very Well,Somewhat Well,Very Well,Very Well,Very Little,Very Well,Very Well,Not Select,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,1,1,2,2,2,2,1,2,Fourth,First,Third,Second,First,Second,Third,Fourth,Fifth,F,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,NA,Google Drive,NA,NA,NA,NA,SharePoint,NA,NA,NA,NA,Google Drive,NA,NA,No,Selcet,Not Select,Not Select,Never,Selcet,Selcet,Selcet,Yes,GH,Not Select,Selcet,Selcet,Selcet,1,1,0,0,-1,Some,Yes,2,-1,-1,0,-1,1,2,0,1,Intermediate,4,36-40
787,787,787,3063426912,2/10/14 23:02,2/10/14 23:17,34,White,M,USMC,Capt,United States of America,370,Information Systems & Technology,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Not Select,Select,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,1,2,2,T,ICR,TR,Very Well,Very Little,Very Little,Very Little,Not At All,Not At All,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,1,-1,1,1,-1,1,2,1,Second,First,Third,Fourth,Fourth,Fifth,Third,First,Second,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,No,Selcet,Not Select,Not Select,Rarely,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Not Select,Not Select,2,2,2,-1,2,Most,Yes,1,-1,2,1,1,2,-1,1,1,Intermediate,3,31-35
788,788,788,3063424570,2/10/14 23:01,2/10/14 23:25,34,White,M,USMC,Capt,United States of America,370,Information Systems & Technology,Graduate School of Operational and Information Sciences,NPS,Master,No,No,Select,Not Select,Select,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,1,1,2,LL,TR,ICR,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Not At All,Not At All,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Not At All,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,1,1,0,0,1,1,1,1,First,Second,Third,NA,First,Fifth,Fourth,Second,Third,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,NA,Paper Copy,NA,SAKAI,NA,NA,NA,Prof Web Site,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Not Select,Selcet,Yes,GH,Selcet,Selcet,Not Select,Selcet,0,1,1,-2,1,Most,Yes,-1,1,0,0,-2,-1,0,-2,-1,Advanced,3,31-35
